"","index","text","keyword1","keyword2","keyword3","concept1","concept2","concept3","entity1","entity2","entity3","anger","disgust","fear","joy","sadness","analytical","confident","tentative","openness","conscientiousness","extraversion","agreeableness","emotional_range","taxonomy","knowledgegraph"
"1",1,"RT ZcashNews Zcash is todays highest performing altcoin  ","ZcashNews Zcash","todays","altcoin","","","","","","",0.013,0.021,0.089,0.796,0.138,0,0,0,0.111,0.309,0.169,0.462,0.061,"/art and entertainment "," "
"2",2," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"3",3,"Another zcash node  ","zcash node","NA","NA","","","","","","",0.106,0.026,0.045,0.418,0.465,0,0,0,0.205,0.094,0.168,0.657,0.005," ","/devices/nodes/zcash node "
"4",4,"RT Zeruyu All the hype about crooked Zcash is explained by greedy people who missed the opportunity to early adopt Bitcoin and Monero","early adopt Bitcoin","greedy people","crooked Zcash","The Opportunity","The Hype","NA","Bitcoin","Monero","NA",0.112,0.155,0.069,0.043,0.672,0,0.281,0,0.468,0.087,0.515,0.309,0.179,"/business and industrial ","/people/artists/earlies/early adopt bitcoin "
"5",5,"RT ShapeShiftio In case you missed it ShapeShift has added Zcash to the exchange Buysell instantly  ","exchange Buysell","ShapeShift","ShapeShiftio","Exchange","NA","NA","Zcash","NA","NA",0.05,0.054,0.051,0.113,0.786,0,0,0,0.314,0.964,0.256,0.99,0.566,"/art and entertainment/radio/podcasts ","NA "
"6",6,"RT Zeruyu All the hype about crooked Zcash is explained by greedy people who missed the opportunity to early adopt Bitcoin and Monero","early adopt Bitcoin","greedy people","crooked Zcash","The Opportunity","The Hype","NA","Bitcoin","Monero","NA",0.112,0.155,0.069,0.043,0.672,0,0.281,0,0.468,0.087,0.515,0.309,0.179,"/business and industrial ","/people/artists/earlies/early adopt bitcoin "
"7",7,"RT Zeruyu All the hype about crooked Zcash is explained by greedy people who missed the opportunity to early adopt Bitcoin and Monero","early adopt Bitcoin","greedy people","crooked Zcash","The Opportunity","The Hype","NA","Bitcoin","Monero","NA",0.112,0.155,0.069,0.043,0.672,0,0.281,0,0.468,0.087,0.515,0.309,0.179,"/business and industrial ","/people/artists/earlies/early adopt bitcoin "
"8",8,"All the hype about crooked Zcash is explained by greedy people who missed the opportunity to early adopt Bitcoin and Monero","early adopt Bitcoin","greedy people","crooked Zcash","The Opportunity","The Hype","NA","Bitcoin","Monero","NA",0.132,0.154,0.06,0.023,0.692,0.399,0.314,0,0.572,0.074,0.703,0.185,0.232,"/business and industrial ","/people/artists/earlies/early adopt bitcoin "
"9",9,"RT ShapeShiftio In case you missed it ShapeShift has added Zcash to the exchange Buysell instantly  ","exchange Buysell","ShapeShift","ShapeShiftio","Exchange","NA","NA","Zcash","NA","NA",0.05,0.054,0.051,0.113,0.786,0,0,0,0.314,0.964,0.256,0.99,0.566,"/art and entertainment/radio/podcasts ","NA "
"10",10,"RT ShapeShiftio In case you missed it ShapeShift has added Zcash to the exchange Buysell instantly  ","exchange Buysell","ShapeShift","ShapeShiftio","Exchange","NA","NA","Zcash","NA","NA",0.05,0.054,0.051,0.113,0.786,0,0,0,0.314,0.964,0.256,0.99,0.566,"/art and entertainment/radio/podcasts ","NA "
"11",11,"In case you missed it ShapeShift has added Zcash to the exchange Buysell instantly  ","exchange Buysell","ShapeShift","Zcash","Exchange","NA","NA","Zcash","NA","NA",0.064,0.057,0.049,0.067,0.823,0.737,0,0,0.469,0.927,0.534,0.965,0.687,"/art and entertainment/radio/podcasts "," "
"12",12,"RT TheEconomist Meet Zcash the latest cryptocurrency to join the fray  ","TheEconomist Meet Zcash","fray","latest cryptocurrency","The Fray","Semilattice","Algebraic structure","","","",0.067,0.028,0.174,0.64,0.151,0,0,0,0.18,0.399,0.016,0.809,0.149,"/technology and computing/computer security/antivirus and malware ","/activities/events/meets/theeconomist meet zcash "
"13",13,"RT Zeruyu Zcash clearly shows the future of cryptocurrencies implementing anonymity and fungibility lies within Monero and upgrades to","Zeruyu Zcash","anonymity","future","Future","NA","NA","Zeruyu Zcash","Monero","NA",0.079,0.086,0.227,0.55,0.117,0,0.639,0,0.493,0.149,0.019,0.127,0.033,"/business and industrial ","NA "
"14",14,"World gained Blockchain with Bitcoins fall and now with Zcash amp its  untraceable USP lot more in offering","untraceable USP","Bitcoins fall","World","Gain","Season","NA","Zcash","NA","NA",0.055,0.071,0.07,0.661,0.21,0.549,0,0.213,0.519,0.172,0.874,0.168,0.251,"/business and industrial/advertising and marketing/marketing ","/companies/carriers/usps/untraceable usp "
"15",15,"RT Zeruyu Zcash clearly shows the future of cryptocurrencies implementing anonymity and fungibility lies within Monero and upgrades to","Zeruyu Zcash","anonymity","future","Future","NA","NA","Zeruyu Zcash","Monero","NA",0.079,0.086,0.227,0.55,0.117,0,0.639,0,0.493,0.149,0.019,0.127,0.033,"/business and industrial ","NA "
"16",16,"Zcash clearly shows the future of cryptocurrencies implementing anonymity and fungibility lies within Monero and upgrades to Bitcoin","anonymity","Zcash","future","Future","NA","NA","Zcash","Monero","NA",0.109,0.097,0.236,0.454,0.165,0.212,0.66,0,0.599,0.064,0.213,0.046,0.196,"/business and industrial ","/issues/anonymity "
"17",17,"RT Zeruyu There is now a Twitter handle for Zcash victims ZcashVictims I personally would prefer the term wronged parties","Twitter handle","Zcash victims","Zeruyu","","","","Twitter","NA","NA",0.141,0.384,0.051,0.07,0.437,0,0,0,0.699,0.055,0.629,0.308,0.282,"/law, govt and politics ","NA "
"18",18,"There is now a Twitter handle for Zcash victims ZcashVictims I personally would prefer the term wronged parties","Twitter handle","Zcash victims","term","","","","Twitter","NA","NA",0.16,0.379,0.047,0.036,0.47,0.46,0,0,0.828,0.019,0.84,0.15,0.366,"/law, govt and politics ","NA "
"19",19,"RT NCCsecurityUS Happy to have been part of the zcashco audit process Download our report Zcash Cryptography amp Code Review today htt","Zcash Cryptography amp","zcashco audit process","NCCsecurityUS Happy","Computer program","NA","NA","","","",0.027,0.083,0.062,0.858,0.017,0,0.297,0,0.295,0.998,0.005,0.714,0.846,"/technology and computing/software ","/accessories/amps/zcash cryptography amp "
"20",20,"Zcash a HardertoTrace Virtual Currency Generates Price Frenzy via nytimes TechTuesday   ","Generates Price Frenzy","nytimes TechTuesday","Currency","","","","","","",0.15,0.109,0.112,0.485,0.193,0.862,0,0,0.324,0.569,0.593,0.673,0.798,"/business and industrial/advertising and marketing/advertising ","/numbers/factors/features/details/price/generates price frenzy "
"21",21,"RT cryptocrooks How do I mine zcash with an amd rx   ","amd rx","cryptocrooks","zcash","","","","amd","NA","NA",0.291,0.09,0.091,0.233,0.369,0,0,0,0.065,0.066,0.032,0.431,0.279,"/technology and computing/hardware/computer components/chips and processors ","/organizations/companies/amd/amd rx "
"22",22,"ErikVoorhees So far there is no a single reason to like Zcash Except looking at my profitable trade shorting the futures zcash zec","futures zcash zec","profitable trade","single reason","Futures contract","NA","NA","Zcash","NA","NA",0.065,0.153,0.08,0.278,0.514,0.831,0,0.144,0.346,0,0.626,0,0.112,"/finance/investing/stocks ","/transactions/assets/financial instruments/derivatives/futures/futures zcash zec "
"23",23,"Is Zcash Giving Investors Mixed Signals ethereum cfd indices commodities cryptocurrency  ","cfd indices commodities","Zcash Giving Investors","NA","","","","","","",0.188,0.096,0.17,0.377,0.241,0,0,0,0.782,0.219,0.752,0.345,0.007,"/finance/investing/stocks ","/factors/assets/commodities/cfd indices commodities "
"24",24,"Is Zcash Giving Investors Mixed Signals ethereum cfd indices commodities cryptocurrency  ","cfd indices commodities","Zcash Giving Investors","NA","","","","","","",0.188,0.096,0.17,0.377,0.241,0,0,0,0.782,0.219,0.752,0.345,0.007,"/finance/investing/stocks ","/factors/assets/commodities/cfd indices commodities "
"25",25," ","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0," "," "
"26",26,"RT NewsCarson Who wants to talk about Zcash in this weeks blockchain tracker Message me if you have insight and opinionswhich I k","tracker Message","insight","NewsCarson","Who Wants to Be a Millionaire?","NA","NA","Zcash","NA","NA",0.062,0.108,0.163,0.146,0.641,0.636,0,0.131,0.256,0.192,0.362,0.874,0.015,"/technology and computing/internet technology/chat ","NA "
